system:index,Class,Conf,Id,IsRice,Location,RnR,Year,gridcode,.geo
00000000000000000000,Rice,N,706,1,Barisal,R,2002,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
000000000000000001d2,Rice,N,706,1,Barisal,R,2004,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
000000000000000003a4,Rice,Y,706,1,Barisal,R,2006,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
00000000000000000576,Rice,Y,706,1,Barisal,R,2009,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
00000000000000000748,Rice,Y,706,1,Barisal,R,2015,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
0000000000000000091a,Rice,Y,706,1,Barisal,R,2016,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
00000000000000000aec,Rice,Y,706,1,Barisal,R,2018,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
00000000000000000cbe,Rice,Y,706,1,Barisal,R,2019,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
00000000000000000e90,Rice,Y,706,1,Barisal,R,2020,16843,"{""type"":""Point"",""coordinates"":[90.16956529769165,23.055947107646166]}"
00000000000000000002,Rice,N,1948,1,Barisal,R,2002,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
000000000000000001d4,Rice,N,1948,1,Barisal,R,2004,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
000000000000000003a6,Rice,Y,1948,1,Barisal,R,2006,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
00000000000000000578,Rice,Y,1948,1,Barisal,R,2009,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
0000000000000000074a,Rice,Y,1948,1,Barisal,R,2015,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
0000000000000000091c,Rice,Y,1948,1,Barisal,R,2016,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
00000000000000000aee,Rice,Y,1948,1,Barisal,R,2018,19703,"{""type"":""Point"",""coordinates"":[90.22234787555507,23.050382005122593]}"
